,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1160,2020/8/11,NOP,SAC,L 106-112,240,42,82,0.512,35,58,0.603,7,24,0.292,15,19,0.789,106,43,88,0.489,32,62,0.516,11,26,0.423,15,16,0.938,112
1161,2020/8/11,SAC,NOP,W 112-106,240,43,88,0.489,32,62,0.516,11,26,0.423,15,16,0.938,112,42,82,0.512,35,58,0.603,7,24,0.292,15,19,0.789,106
1162,2020/8/11,HOU,SAS,L 105-123,240,36,89,0.404,22,41,0.537,14,48,0.292,19,21,0.905,105,46,93,0.495,33,61,0.541,13,32,0.406,18,20,0.9,123
1163,2020/8/11,SAS,HOU,W 123-105,240,46,93,0.495,33,61,0.541,13,32,0.406,18,20,0.9,123,36,89,0.404,22,41,0.537,14,48,0.292,19,21,0.905,105
1164,2020/8/11,MIL,WAS,W 126-113,240,44,87,0.506,26,49,0.531,18,38,0.474,20,28,0.714,126,39,95,0.411,27,60,0.45,12,35,0.343,23,30,0.767,113
1165,2020/8/11,WAS,MIL,L 113-126,240,39,95,0.411,27,60,0.45,12,35,0.343,23,30,0.767,113,44,87,0.506,26,49,0.531,18,38,0.474,20,28,0.714,126
1166,2020/8/10,DEN,LAL,L 121-124,240,45,77,0.584,32,54,0.593,13,23,0.565,18,23,0.783,121,44,81,0.543,30,52,0.577,14,29,0.483,22,32,0.688,124
1167,2020/8/10,LAL,DEN,W 124-121,240,44,81,0.543,30,52,0.577,14,29,0.483,22,32,0.688,124,45,77,0.584,32,54,0.593,13,23,0.565,18,23,0.783,121
1168,2020/8/10,IND,MIA,L 92-114,240,33,84,0.393,23,49,0.469,10,35,0.286,16,25,0.64,92,44,98,0.449,31,58,0.534,13,40,0.325,13,19,0.684,114
1169,2020/8/10,MIA,IND,W 114-92,240,44,98,0.449,31,58,0.534,13,40,0.325,13,19,0.684,114,33,84,0.393,23,49,0.469,10,35,0.286,16,25,0.64,92
