,FG%.1_AVG,PTS.1_AVG,+/-_players_AVG,DRtg_players_AVG,winning_rate,y
959,-0.0282999999999999,-12.0,6.033673610999999,-10.357062499999998,0.1145510829999999,1
588,-0.0399999999999999,-4.099999999999993,-0.742881945,1.6597639000000155,-0.1549999999999999,0
1115,0.0031999999999999,8.899999999999991,-6.2506875,5.046972199999985,-0.5,0
378,-0.0086999999999999,0.8999999999999915,-0.509229165999999,-2.89692359999998,-0.196153846,0
666,0.0129,1.7999999999999972,3.2065625000000004,6.373305599999981,0.179292929,1
66,0.0111999999999999,2.5,-2.5670763880000003,4.409423599999997,0.00183346,1
373,-0.0026999999999999,3.0,-8.083076389,0.786611100000016,-0.198826979,0
997,-0.0636,-10.299999999999995,10.040055556,-10.592465200000008,0.3095238099999999,1
876,-0.0371,4.1000000000000085,3.227645834,2.4581945000000047,0.291666667,1
857,0.0238999999999999,-3.6000000000000085,2.544451389,-0.9956875000000024,0.132478633,1
981,-0.0037999999999999,1.7999999999999972,-9.986048611,-2.641104200000015,-0.1333333340000001,1
787,0.0359999999999999,5.5,1.421111111,5.78875690000001,0.0748663099999999,0
6,0.0038,1.0,5.674604167000001,-3.653527799999992,0.229885057,1
520,-0.0751999999999999,-23.3,7.465736111,-15.614597200000004,0.090909091,0
470,-0.0248999999999999,-6.799999999999998,0.0856111109999995,-4.1278125000000045,0.0281632649999999,0
543,-0.0011999999999999,1.3999999999999917,-4.9443125000000006,1.392784700000007,-0.076923077,0
551,-0.004,-7.5,2.353055556,-4.970784800000004,0.0384615379999999,0
708,-0.0524,-7.700000000000002,0.2643055559999998,-13.818111099999996,0.0089743589999999,0
617,0.0027999999999999,-3.300000000000012,-2.047048611,-5.817631900000008,-0.0436991869999999,0
191,-0.0116999999999999,-9.900000000000006,4.694673611,-11.504854199999984,0.1849415209999999,1
288,0.0596,9.400000000000006,-8.774263889,13.116388899999974,-0.035196687,1
840,-0.0102,8.699999999999989,-8.252875,6.9796665999999865,-0.43,0
732,0.0301,3.9000000000000057,-7.021458332999999,7.943493100000013,-0.3343629349999999,1
172,0.0483,15.900000000000004,-6.074395834,13.464013899999998,-0.050254094,0
827,0.0080999999999999,-1.899999999999992,-2.752986111,-2.757326300000031,0.0996168579999999,0
641,0.0282999999999999,-1.9000000000000057,-7.184770834,0.6882986000000102,-0.1846226869999999,1
495,0.0448,13.900000000000004,-7.0029375,10.028055599999988,-0.248608534,0
736,0.0465,2.5999999999999943,1.5534166659999995,5.123173599999988,0.06685633,1
613,-0.0279999999999999,-1.4000000000000057,-0.930006945,-6.295611199999968,-0.30212766,0
783,0.0175999999999999,1.7999999999999972,-2.729993055,2.987083299999981,-0.382352942,0
132,0.0276,10.400000000000006,-5.311493056000001,4.579374999999999,-0.286384977,0
888,-0.0176,-8.200000000000003,-4.061729167000002,-6.2613403000000005,-0.1200828159999999,0
957,-0.0338,-4.299999999999997,-1.1156805550000004,-2.361645900000028,0.144444444,1
939,0.0117,2.5999999999999943,-1.145659722,3.496861199999984,-0.105555556,1
518,0.0114,0.7000000000000028,-3.5638749999999995,4.6946528,-0.334175085,0
